Bénéficiaires,Portefeuilles,Projets,Date de la dernière décision du GW,Coût total décidées,Feder décidées,Part wallonne décidées,Autres décidées,Coût total payées,Feder payées,Part wallonne payées,Autres payées,Date de clôture
ASBL Attractions et Tourisme,Structuration-qualification et promotion des filières touristiques de Wallonie,Filière Détente-Découverte: réseau des attractions,17/12/2015,"131.572,96","52.629,18","65.786,49","13.157,29","131.572,96","52.629,18","65.786,49","13.157,29",31/12/2013
ASBL Gîtes de Wallonie,Structuration-qualification et promotion des filières touristiques de Wallonie,Filière Détente-Découverte: réseau héb. terroir,17/12/2015,"140.250,00","56.100,00","70.125,00","14.025,00","133.205,63","53.282,25","66.602,82","13.320,56",
ASBL HORECA Wallonie,Structuration-qualification et promotion des filières touristiques de Wallonie,Filière Découverte-Détente: réseau hôtelier,17/12/2015,"99.000,00","39.600,00","49.500,00","9.900,00","90.752,01","36.300,77","45.376,03","9.075,21",
ASBL Musées et Société en Wallonie,Structuration-qualification et promotion des filières touristiques de Wallonie,Filière Détente-Découverte: réseaux muséeaux,17/12/2015,"200.000,00","80.000,00","100.000,00","20.000,00","181.880,01","72.751,99","90.940,02","18.188,00",
ASBL WALCAMP,Structuration-qualification et promotion des filières touristiques de Wallonie,Filière Détente-Découverte: réseau des campings,17/12/2015,"146.893,34","58.757,34","73.446,67","14.689,33","146.455,10","58.582,02","73.227,57","14.645,51",
CITW,Projet CITH - CITW Attractivité touristique,coordination et ingénierie opérationnelle,17/12/2015,"2.496.175,99","998.470,39","1.497.705,60","0,00","2.242.256,84","896.902,73","1.345.354,11","0,00",
Commissariat Général au Tourisme,Projet CITH - CITW Attractivité touristique,qualité,17/12/2015,"499.250,00","199.700,00","299.550,00","0,00","326.255,23","130.502,09","195.753,14","0,00",
Commissariat Général au Tourisme,Structuration-qualification et promotion des filières touristiques de Wallonie,Filière MICE: base de données tourisme d'affaires,17/12/2015,"254.325,58","101.730,23","152.595,35","0,00","232.859,93","93.143,97","139.715,96","0,00",
Commune d'Aiseau-Presles,Construction et mise en oeuvre d'une infrastructure de biométhanisation,Biométhanisation,16/07/2015,"3.768.615,00","1.507.446,00","1.884.307,50","376.861,50","3.322.543,66","1.329.017,44","1.661.271,85","332.254,37",
Commune de Farciennes,Redynamisation urbaine de Farciennes,"Volet 3 ""Réaménagement de la Grand'Place et abords",24/07/2008,"2.961.195,94","1.184.478,37","1.480.597,98","296.119,59","2.961.195,94","1.184.478,35","1.480.597,99","296.119,60",03/09/2013
Commune de Frameries,Aménagement du quartier des 4 pavés de Frameries,"Parking, espace multifonctionnel et voiries",04/02/2016,"9.273.754,67","3.376.017,64","4.970.342,00","93.684,48","9.273.753,84","3.376.017,34","4.970.341,55","93.684,48",19/08/2015
Commune de Lobbes,"Projet didactique de promotion des énergies renouvelables (énergie solaire) dans les bâtiments publics de Thuin, Lobbes et Merbes-le-Château",Projet didactique énergie renouvelable Lobbes,04/02/2016,"139.002,19","32.604,36","48.906,53","0,00","139.002,19","32.604,35","48.906,53","0,00",21/12/2015
Commune de Merbes-le- Château,"Projet didactique de promotion des énergies renouvelables (énergie solaire) dans les bâtiments publics de Thuin, Lobbes et Merbes-le-Château",Projet didactique énergie renouvelable Merbes,04/02/2016,"134.952,63","36.550,57","54.825,86","0,00","134.952,63","36.550,57","54.825,85","0,00",19/06/2014
Commune de Morlanwez,Développement du Domaine de Mariemont,Aménagement de l'espace public autour du Domaine,05/03/2015,"3.737.071,20","1.494.828,48","1.868.535,60","373.707,12","1.288.348,38","515.339,33","644.174,21","128.834,84",
Commune de Peruwelz,Tremplin pour Péruwelz,Volet 1A Grand Place - Esplanade,02/07/2015,"2.717.033,90","1.086.813,56","1.358.516,95","271.703,39","2.002.187,85","800.875,10","1.001.093,94","200.218,81",
Fédération du Tourisme de la Province du Hainaut,Structuration-qualification et promotion des filières touristiques de Wallonie,Filière MICE: cellule MICE hennuyère,17/12/2015,"303.528,56","121.411,41","151.764,29","30.352,86","295.182,72","118.073,06","147.591,38","29.518,28",
IDETA,Projet CITH - CITW Attractivité touristique,accompagnement d'ingénierie opérationnelle,17/12/2015,"393.000,00","157.200,00","196.500,00","39.300,00","385.368,45","154.147,36","192.684,24","38.536,85",
IDETA,Revitalisation intégrée du coeur de ville de Tournai,4. Structuration et Mise en marché touristique,17/12/2015,"323.990,00","129.596,00","161.995,00","32.399,00","323.669,78","129.467,88","161.834,91","32.366,99",
IDETA,Structuration-qualification et promotion des filières touristiques de Wallonie,Structuration et qualification des filières touristiques de Wallonie,17/12/2015,"691.137,93","276.455,17","345.568,97","69.113,79","676.661,70","270.664,65","338.330,87","67.666,18",
IGRETEC,Projet CITH - CITW Attractivité touristique,accompagnement ingénierie opérationnelle,17/12/2015,"417.809,00","167.123,60","208.904,50","41.780,90","417.809,00","167.123,60","208.904,51","41.780,89",27/11/2013
Institut du Patrimoine wallon,La Louvière - Extension du centre-ville: Boch Kéramis,5 - Centre de la Faïence,10/12/2015,"6.962.496,11","2.783.884,45","4.175.826,66","0,00","6.962.496,11","2.783.884,44","4.175.826,67","0,00",26/05/2015
Les Lacs de l'Eau d'Heure,Lac de la Plate Taille,1.Centre équestre,10/12/2015,"1.001.877,70","400.751,08","601.126,62","0,00","1.000.839,97","400.336,00","600.503,97","0,00",
Les Lacs de l'Eau d'Heure,Lac de la Plate Taille,"2.Plages, baignade",10/12/2015,"928.611,75","371.444,70","557.167,05","0,00","928.123,47","371.249,39","556.874,08","0,00",
