Bénéficiaires,Portefeuilles,Projets,Date de la dernière décision du GW,Coût total décidées,Feder décidées,Part wallonne décidées,Autres décidées,Coût total payées,Feder payées,Part wallonne payées,Autres payées,Date de clôture
CARAH,MICROPACK,Aliments A,22/10/2015,"615.397,00","246.158,80","369.238,20","0,00","504.172,74","201.669,08","302.503,66","0,00",
CARAH,ValSolindus,Valorisation agronomique et horticole des sédiments,08/10/2015,"521.382,40","208.552,96","312.829,44","0,00","521.317,55","208.527,02","312.790,53","0,00",31/12/2015
CENAERO,CILAB - Composite innovation Laboratory,CENAERO - Equipement,22/10/2015,"1.377.108,94","550.843,57","826.265,37","0,00","1.369.276,83","547.710,72","821.566,11","0,00",
CENAERO,CILAB - Composite innovation Laboratory,CENAERO - Recherche,22/10/2015,"624.695,45","249.878,18","218.643,40","156.173,87","609.022,40","243.608,94","213.157,85","152.255,61",
CENAERO,CILAB - Composite innovation Laboratory,CENAERO - Valorisation,22/10/2015,"117.149,72","46.859,89","70.289,83","0,00","102.969,89","41.187,95","61.781,94","0,00",31/03/2015
CENAERO,Plateforme Biomanufacturing,2.2.2b -Adaptation et modélisation du modèle laser cladding,23/03/2012,"93.531,00","35.541,78","34.606,47","23.382,75","84.953,77","32.282,42","31.432,90","21.238,45",
CENAERO,Plateforme Biomanufacturing,2.2.2 Equipements - Extension et adaptation du code Morfeo,23/03/2012,"73.774,00","29.509,60","44.264,40","0,00","71.871,21","28.748,48","43.122,73","0,00",
CENAERO,Portefeuille TIC,Cenaero/Recherche_TIC,12/06/2014,"14.333,33","4.300,00","6.450,00","3.583,33","11.021,59","3.306,46","4.959,72","2.755,41",
CENAERO,SIMBA - Simulation Multi- physique du Bâtiment,CENAERO - Recherche,03/12/2015,"634.128,97","253.651,60","221.945,12","158.532,25","620.014,54","248.005,80","217.005,10","155.003,64",
CENAERO,SIMBA - Simulation Multi- physique du Bâtiment,CENAERO - Valorisation,03/12/2015,"352.658,56","141.063,42","211.595,14","0,00","343.231,41","137.292,57","205.938,84","0,00",31/03/2013
CENAERO,SINUS: Simulation Numérique Haute Performance,CENAERO-Equipements,17/12/2015,"4.851.425,40","1.940.570,16","2.910.855,24","0,00","4.831.158,79","1.932.463,52","2.898.695,27","0,00",
CENAERO,SINUS: Simulation Numérique Haute Performance,CENAERO-Recherche,17/12/2015,"6.581.450,66","1.974.435,20","2.961.652,78","1.645.362,68","6.554.799,64","1.966.439,86","2.949.659,85","1.638.699,93",
CENAERO,SINUS: Simulation Numérique Haute Performance,CENAERO-Valorisation,17/12/2015,"838.898,62","335.559,45","503.339,17","0,00","837.655,90","335.062,37","502.593,53","0,00",
Certech,MICROPACK,Aliments B,22/10/2015,"723.773,00","289.509,20","253.320,54","180.943,26","723.760,62","289.504,22","253.316,23","180.940,17",31/12/2015
Certech,MICROPACK,Materiaux,22/10/2015,"1.340.839,00","536.335,60","469.293,65","335.209,75","1.340.806,89","536.322,75","469.282,41","335.201,73",30/09/2015
Certech,MICROPACK,Transfert de technologie,22/10/2015,"273.072,00","109.228,80","163.843,20","0,00","273.056,60","109.222,64","163.833,96","0,00",30/06/2015
Certech,TECHNOPOLY,2.2.2. Recyclage A,17/12/2015,"2.953.759,94","883.912,68","1.325.869,00","736.593,88","2.951.838,93","883.337,77","1.325.006,72","736.114,85",
Certech,TECHNOPOLY,2.2.4. Promotion du portefeuille,17/12/2015,"499.981,83","199.992,73","299.989,10","0,00","499.981,83","199.992,74","299.989,09","0,00",30/06/2015
CETIC,Plateforme Biomanufacturing,2.2.2c,23/03/2012,"144.703,04","43.410,91","65.116,36","36.175,77","104.618,24","31.385,47","47.078,21","26.154,56",
CETIC,Portefeuille TIC,CETIC/Equipement_TIC,12/06/2014,"3.188.002,84","1.275.201,14","1.912.801,70","0,00","2.981.430,85","1.192.572,35","1.788.858,50","0,00",
CETIC,Portefeuille TIC,CETIC/Recherche_TIC,12/06/2014,"5.505.003,89","1.609.850,30","2.509.472,55","615.531,00","5.145.634,68","1.504.758,52","2.345.653,00","575.348,86",
CETIC,Portefeuille TIC,CETIC/Valorisation_TIC,12/06/2014,"971.300,00","388.520,00","582.780,00","0,00","747.140,14","298.856,06","448.284,08","0,00",
CETIC,SINUS: Simulation Numérique Haute Performance,CETIC-Equipements,17/12/2015,"233.115,10","93.246,03","139.869,07","0,00","233.108,10","93.243,24","139.864,86","0,00",31/12/2015
CETIC,eHealth-Les TIC au service des patients,CETIC/Recherche_eHealth,23/04/2009,"1.207.509,45","413.837,63","491.846,03","128.910,43","960.769,46","329.274,89","391.343,26","102.569,13",
CETIC,eHealth-Les TIC au service des patients,CETIC/Valorisation_eHealth,23/04/2009,"291.532,65","116.613,05","174.919,60","0,00","288.650,34","115.460,14","173.190,20","0,00",
CRIBC,Etablissement de filières de valorisation pérennes pour les résidus d'épuration des fumées d'incinération,Application matériau des REFIOM (CRIBC),18/07/2013,"738.456,00","295.382,40","258.459,60","184.614,00","738.364,32","295.345,72","258.427,52","184.591,08",31/12/2015
CRIBC,Etablissement de filières de valorisation pérennes pour les résidus d'épuration des fumées d'incinération,Valorisation des REFIOM (CRIBC),18/07/2013,"100.008,20","40.003,28","60.004,92","0,00","99.777,21","39.910,88","59.866,33","0,00",
CRIBC,Revêtements Fonctionnels,CLEARZINC E,12/06/2014,"100.639,83","30.191,95","45.287,92","25.159,96","100.323,95","30.097,17","45.145,78","25.081,00",
CRIBC,Revêtements Fonctionnels,HAINOLASE,12/06/2014,"2.995.457,01","1.196.864,81","1.795.297,20","0,00","2.995.276,68","1.196.792,76","1.795.189,11","0,00",
